id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,ath,ath_change_percentage,volatility_score,vol_mcap_ratio,market_cap_group
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999301,1288061389,278465973.0,1.0,0.999153,-0.02021,1.031,-3.08316,0.02021,0.2161899854914446,Small
kinetic-staked-hype,khype,Kinetiq Staked HYPE,39.07,1283582925,15361377.0,39.35,38.34,1.33922,59.44,-34.35284,1.33922,0.011967576617615102,Small
quant-network,qnt,Quant,86.56,1259741513,26276875.0,87.16,80.59,5.75664,427.42,-79.74484,5.75664,0.020858941877229382,Small
wbnb,wbnb,Wrapped BNB,943.12,1256667303,222559539.0,944.19,923.72,1.54702,1372.03,-31.22227,1.54702,0.17710299175341876,Small
kaspa,kas,Kaspa,0.04514554,1208897679,20457954.0,0.04594829,0.04462902,-0.80303,0.207411,-78.2174,0.80303,0.016922816839985016,Small
syrupusdc,syrupusdc,syrupUSDC,1.14,1205909567,4159660.0,1.14,1.14,-0.00081,1.14,-0.02068,0.00081,0.003449396301207054,Small
sky,sky,Sky,0.051254,1174153921,11143785.0,0.052294,0.050936,-1.16684,0.100535,-49.00737,1.16684,0.00949090643116798,Small
ignition-fbtc,fbtc,Function FBTC,96365.0,1151430864,220640.0,96733.0,94154.0,0.37285,127954.0,-24.77774,0.37285,0.0001916224472509884,Small
flare-networks,flr,Flare,0.01452733,1138973005,7047562.0,0.01453558,0.01393593,2.88004,0.150073,-90.31431,2.88004,0.00618764621203643,Small
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3386.71,1138599666,65381.0,3405.08,3311.34,1.11704,5190.42,-34.75084,1.11704,5.742228981121096e-05,Small
render-token,render,Render,2.15,1114871577,50660588.0,2.23,2.1,-2.16582,13.53,-84.11395,2.16582,0.04544073868698152,Small
global-dollar,usdg,Global Dollar,0.999643,1114182347,16726804.0,1.0,0.999536,-0.00388,1.65,-39.57916,0.00388,0.015012627013018004,Small
